# key | doi   (written by tools/apply_verification.py from Crossref matches; do not type DOIs by hand)
abobeih2018 | 10.1038/s41467-018-04916-z
abobeih2019 | 10.1038/s41586-019-1834-7
abobeih2022 | 10.1038/s41586-022-04819-6
achard2020 | 10.1088/1361-6463/ab81d1
acosta2010 | 10.1103/physrevlett.104.070801
aharonovich2011 | 10.1038/nphoton.2011.54
aida2016 | 10.7567/apex.9.035504
ajayi2019 | 10.1145/3316781.3326334
ajoy2012 | 10.1103/physreva.86.062104
ajoy2018 | 10.1126/sciadv.aar5492
akimoto2014 | 10.1063/1.4891039
aleksov2003 | 10.1016/s0925-9635(02)00401-6
anderson2022 | 10.1126/sciadv.abm5912
angus1968 | 10.1063/1.1656693
anthony1990 | 10.1103/physrevb.42.1104
arroyo2014 | 10.1038/ncomms5870
aslam2013 | 10.1088/1367-2630/15/1/013064
aslam2017 | 10.1126/science.aam8697
atature2018 | 10.1038/s41578-018-0008-9
awschalom2018 | 10.1038/s41566-018-0232-2
babinec2010 | 10.1038/nnano.2010.6
bachmann1991 | 10.1016/0925-9635(91)90005-u
bajt2002 | 10.1117/1.1489426
balasubramanian2008 | 10.1038/nature07278
balasubramanian2009 | 10.1038/nmat2420
baliga1982 | 10.1063/1.331646
baliga1989 | 10.1109/55.43098
balmer2009 | 10.1088/0953-8984/21/36/364221
bargill2013 | 10.1038/ncomms2771
barrett2005 | 10.1103/physreva.71.060310
barry2016 | 10.1073/pnas.1601513113
barry2020 | 10.1103/revmodphys.92.015004
bartling2025 | 10.1103/physrevapplied.23.034052
bauch2018 | 10.1103/physrevx.8.031025
bauch2020 | 10.1103/physrevb.102.134210
bayn2015 | 10.1021/nl504441m
bennett1993 | 10.1103/physrevlett.70.1895
bermudez2011 | 10.1103/physrevlett.107.150503
bernien2013 | 10.1038/nature12016
bhaskar2020 | 10.1038/s41586-020-2103-5
biggs2021 | 10.1038/s41586-021-03625-w
blauschild1978 | 10.1109/jssc.1978.1052048
bobrov2001 | 10.1038/35098053
bormashov2018 | 10.1016/j.diamond.2018.03.006
bourgeois2015 | 10.1038/ncomms9577
bradac2019 | 10.1038/s41467-019-13332-w
bradley2019 | 10.1103/physrevx.9.031045
bravyi2024 | 10.1038/s41586-024-07107-7
breeze2018 | 10.1038/nature25970
briegel1998 | 10.1103/physrevlett.81.5932
brokaw1974 | 10.1109/isscc.1974.1155346
bucher2019 | 10.1038/s41596-019-0201-3
bundy1955 | 10.1038/176051a0
burek2012 | 10.1021/nl302541e
burek2016 | 10.1364/optica.3.001404
burns2009 | 10.1088/0953-8984/21/36/364224
butler2003 | 10.1088/0268-1242/18/3/309
butler2009 | 10.1088/0953-8984/21/36/364201
cai2013 | 10.1038/nphys2519
cambria2023 | 10.1103/physrevlett.130.256903
cappellaro2009 | 10.1103/physrevlett.102.210502
carr1954 | 10.1103/physrev.94.630
casola2018 | 10.1038/natrevmats.2017.88
chang1975 | 10.1116/1.568515
chen2017 | 10.1038/nphoton.2016.234
chen2019 | 10.1364/optica.6.000662
childress2006 | 10.1126/science.1131871
childress2013 | 10.1557/mrs.2013.20
choi2017 | 10.1038/nature21426
choi2019 | 10.1038/s41534-019-0215-2
chou1995 | 10.1063/1.114851
chou1996 | 10.1116/1.588605
chow1994 | 10.1109/16.297751
chrenko1973 | 10.1103/physrevb.7.4560
chu2014 | 10.1021/nl404836p
clark1964 | 10.1098/rspa.1964.0025
clark2024 | 10.1364/fio.2023.fm6b.3
collins1971 | 10.1088/0022-3719/4/13/030
cramer2016 | 10.1038/ncomms11526
crawford2016 | 10.1063/1.4940749
crawford2021 | 10.1016/j.progsurf.2021.100613
cross2019 | 10.1103/physreva.100.032328
