# ADAMAS reference database (part A: classical electronics). One reference per line, pipe-separated:
# key | authors | year | title | venue | locator | tags | status
# status: V = bibliographic details confirmed against an online source while this repo was built (September 2026)
#         K = entered from literature knowledge; run tools/verify_refs.py to confirm against Crossref before citing in a paper
# tags: mat (materials), waf (wafers and growth), si (silicon baseline), dop (doping, surfaces, processing),
#       dev (devices and circuits), thm (thermal), nv (NV physics), sens (sensing), fab (NV fabrication),
#       qc (quantum computing), net (photonics and networks), ind (industry news), edu (teaching)
isberg2002 | Isberg, J.; Hammersberg, J.; Johansson, E.; et al. | 2002 | High carrier mobility in single-crystal plasma-deposited diamond | Science | 297, 1670 | mat | V
wort2008 | Wort, C. J. H.; Balmer, R. S. | 2008 | Diamond as an electronic material | Materials Today | 11(1-2), 22 | mat | V
tsao2018 | Tsao, J. Y.; Chowdhury, S.; Hollis, M. A.; et al. | 2018 | Ultrawide-bandgap semiconductors: research opportunities and challenges | Advanced Electronic Materials | 4, 1600501 | mat | V
donato2020 | Donato, N.; Rouger, N.; Pernot, J.; Longobardi, G.; Udrea, F. | 2020 | Diamond power devices: state of the art, modelling, figures of merit and future perspective | Journal of Physics D: Applied Physics | 53, 093001 | mat,dev | V
baliga1982 | Baliga, B. J. | 1982 | Semiconductors for high-voltage, vertical channel field-effect transistors | Journal of Applied Physics | 53, 1759 | mat | V
baliga1989 | Baliga, B. J. | 1989 | Power semiconductor device figure of merit for high-frequency applications | IEEE Electron Device Letters | 10, 455 | mat | V
johnson1965 | Johnson, E. O. | 1965 | Physical limitations on frequency and power parameters of transistors | RCA Review | 26, 163 | mat | K
keyes1972 | Keyes, R. W. | 1972 | Figure of merit for semiconductors for high-speed switches | Proceedings of the IEEE | 60, 225 | mat | V
huang2004 | Huang, A. Q. | 2004 | New unipolar switching power device figures of merit | IEEE Electron Device Letters | 25, 298 | mat | V
sze2006 | Sze, S. M.; Ng, K. K. | 2006 | Physics of Semiconductor Devices (3rd ed.) | Wiley | book | mat,si | K
wei1993 | Wei, L.; Kuo, P. K.; Thomas, R. L.; Anthony, T. R.; Banholzer, W. F. | 1993 | Thermal conductivity of isotopically modified single crystal diamond | Physical Review Letters | 70, 3764 | mat,thm | V
anthony1990 | Anthony, T. R.; Banholzer, W. F.; Fleischer, J. F.; et al. | 1990 | Thermal diffusivity of isotopically enriched 12C diamond | Physical Review B | 42, 1104 | mat,thm | V
olson1993 | Olson, J. R.; Pohl, R. O.; Vandersande, J. W.; et al. | 1993 | Thermal conductivity of diamond between 170 and 1200 K and the isotope effect | Physical Review B | 47, 14850 | mat,thm | V
inyushkin2018 | Inyushkin, A. V.; Taldenkov, A. N.; Ralchenko, V. G.; et al. | 2018 | Thermal conductivity of high purity synthetic single crystal diamonds | Physical Review B | 97, 144305 | mat,thm | V
kimoto2014 | Kimoto, T.; Cooper, J. A. | 2014 | Fundamentals of Silicon Carbide Technology | Wiley | book | mat | K
mishra2008 | Mishra, U. K.; Shen, L.; Kazior, T. E.; Wu, Y.-F. | 2008 | GaN-based RF power devices and amplifiers | Proceedings of the IEEE | 96, 287 | mat,dev | V
higashiwaki2012 | Higashiwaki, M.; Sasaki, K.; Kuramata, A.; Masui, T.; Yamakoshi, S. | 2012 | Gallium oxide (Ga2O3) metal-semiconductor field-effect transistors on single-crystal beta-Ga2O3 (010) substrates | Applied Physics Letters | 100, 013504 | mat | V
pearton2018 | Pearton, S. J.; Yang, J.; Cary, P. H.; et al. | 2018 | A review of Ga2O3 materials, processing, and devices | Applied Physics Reviews | 5, 011301 | mat | V
neudeck2002 | Neudeck, P. G.; Okojie, R. S.; Chen, L.-Y. | 2002 | High-temperature electronics - a role for wide bandgap semiconductors? | Proceedings of the IEEE | 90, 1065 | mat,dev | V
neudeck2016 | Neudeck, P. G.; Meredith, R. D.; Chen, L.; et al. | 2016 | Prolonged silicon carbide integrated circuit operation in Venus surface atmospheric conditions | AIP Advances | 6, 125119 | dev | V
field2012 | Field, J. E. | 2012 | The mechanical and strength properties of diamond | Reports on Progress in Physics | 75, 126505 | mat | V
nava1980 | Nava, F.; Canali, C.; Jacoboni, C.; Reggiani, L.; Kozlov, S. F. | 1980 | Electron effective masses and lattice scattering in natural diamond | Solid State Communications | 33, 475 | mat | V
reggiani1981 | Reggiani, L.; Bosi, S.; Canali, C.; Nava, F.; Kozlov, S. F. | 1981 | Hole-drift velocity in natural diamond | Physical Review B | 23, 3050 | mat | V
pernot2010 | Pernot, J.; Volpe, P. N.; Omnes, F.; et al. | 2010 | Hall hole mobility in boron-doped homoepitaxial diamond | Physical Review B | 81, 205203 | mat,dop | V
pernot2008 | Pernot, J.; Koizumi, S. | 2008 | Electron mobility in phosphorous doped {111} homoepitaxial diamond | Applied Physics Letters | 93, 052105 | mat,dop | V
volpe2009 | Volpe, P.-N.; Pernot, J.; Muret, P.; Omnes, F. | 2009 | High hole mobility in boron doped diamond for power device applications | Applied Physics Letters | 94, 092102 | mat,dop | V
volpe2010 | Volpe, P.-N.; Muret, P.; Pernot, J.; et al. | 2010 | Extreme dielectric strength in boron doped homoepitaxial diamond | Applied Physics Letters | 97, 223501 | mat,dev | V
