# ADAMAS reference database (part B: quantum). Same format as refs_a.psv:
# key | authors | year | title | venue | locator | tags | status
davies1976 | Davies, G.; Hamer, M. F. | 1976 | Optical studies of the 1.945 eV vibronic band in diamond | Proceedings of the Royal Society A | 348, 285 | nv | V
loubser1978 | Loubser, J. H. N.; van Wyk, J. A. | 1978 | Electron spin resonance in the study of diamond | Reports on Progress in Physics | 41, 1201 | nv | V
gruber1997 | Gruber, A.; Draebenstedt, A.; Tietz, C.; et al. | 1997 | Scanning confocal optical microscopy and magnetic resonance on single defect centers | Science | 276, 2012 | nv | V
jelezko2004a | Jelezko, F.; Gaebel, T.; Popa, I.; Gruber, A.; Wrachtrup, J. | 2004 | Observation of coherent oscillations in a single electron spin | Physical Review Letters | 92, 076401 | nv,qc | V
jelezko2004b | Jelezko, F.; Gaebel, T.; Popa, I.; et al. | 2004 | Observation of coherent oscillation of a single nuclear spin and realization of a two-qubit conditional quantum gate | Physical Review Letters | 93, 130501 | nv,qc | V
doherty2013 | Doherty, M. W.; Manson, N. B.; Delaney, P.; Jelezko, F.; Wrachtrup, J.; Hollenberg, L. C. L. | 2013 | The nitrogen-vacancy colour centre in diamond | Physics Reports | 528, 1 | nv | V
maze2011 | Maze, J. R.; Gali, A.; Togan, E.; et al. | 2011 | Properties of nitrogen-vacancy centers in diamond: the group theoretic approach | New Journal of Physics | 13, 025025 | nv | V
doherty2011 | Doherty, M. W.; Manson, N. B.; Delaney, P.; Hollenberg, L. C. L. | 2011 | The negatively charged nitrogen-vacancy centre in diamond: the electronic solution | New Journal of Physics | 13, 025019 | nv | V
gali2008 | Gali, A.; Fyta, M.; Kaxiras, E. | 2008 | Ab initio supercell calculations on nitrogen-vacancy center in diamond: electronic structure and hyperfine tensors | Physical Review B | 77, 155206 | nv | V
gali2019 | Gali, A. | 2019 | Ab initio theory of the nitrogen-vacancy center in diamond | Nanophotonics | 8, 1907 | nv | V
manson2006 | Manson, N. B.; Harrison, J. P.; Sellars, M. J. | 2006 | Nitrogen-vacancy center in diamond: model of the electronic structure and associated dynamics | Physical Review B | 74, 104303 | nv | V
goldman2015 | Goldman, M. L.; Sipahigil, A.; Doherty, M. W.; et al. | 2015 | Phonon-induced population dynamics and intersystem crossing in nitrogen-vacancy centers | Physical Review Letters | 114, 145502 | nv | V
felton2009 | Felton, S.; Edmonds, A. M.; Newton, M. E.; et al. | 2009 | Hyperfine interaction in the ground state of the negatively charged nitrogen vacancy center in diamond | Physical Review B | 79, 075203 | nv | V
smeltzer2011 | Smeltzer, B.; Childress, L.; Gali, A. | 2011 | 13C hyperfine interactions in the nitrogen-vacancy centre in diamond | New Journal of Physics | 13, 025021 | nv | V
acosta2010 | Acosta, V. M.; Bauch, E.; Ledbetter, M. P.; et al. | 2010 | Temperature dependence of the nitrogen-vacancy magnetic resonance in diamond | Physical Review Letters | 104, 070801 | nv | V
jarmola2012 | Jarmola, A.; Acosta, V. M.; Jensen, K.; Chemerisov, S.; Budker, D. | 2012 | Temperature- and magnetic-field-dependent longitudinal spin relaxation in nitrogen-vacancy ensembles in diamond | Physical Review Letters | 108, 197601 | nv | V
cambria2023 | Cambria, M. C.; Norambuena, A.; Dinani, H. T.; et al. | 2023 | Temperature-dependent spin-lattice relaxation of the nitrogen-vacancy spin triplet in diamond | Physical Review Letters | 130, 256903 | nv | V
balasubramanian2009 | Balasubramanian, G.; Neumann, P.; Twitchen, D.; et al. | 2009 | Ultralong spin coherence time in isotopically engineered diamond | Nature Materials | 8, 383 | nv | V
herbschleb2019 | Herbschleb, E. D.; Kato, H.; Maruyama, Y.; et al. | 2019 | Ultra-long coherence times amongst room-temperature solid-state spins | Nature Communications | 10, 3766 | nv | V
maurer2012 | Maurer, P. C.; Kucsko, G.; Latta, C.; et al. | 2012 | Room-temperature quantum bit memory exceeding one second | Science | 336, 1283 | nv,qc | V
mizuochi2009 | Mizuochi, N.; Neumann, P.; Rempp, F.; et al. | 2009 | Coherence of single spins coupled to a nuclear spin bath of varying density | Physical Review B | 80, 041201 | nv | V
zhao2012 | Zhao, N.; Ho, S.-W.; Liu, R.-B. | 2012 | Decoherence and dynamical decoupling control of nitrogen vacancy center electron spins in nuclear spin baths | Physical Review B | 85, 115303 | nv | V
delange2010 | de Lange, G.; Wang, Z. H.; Riste, D.; Dobrovitski, V. V.; Hanson, R. | 2010 | Universal dynamical decoupling of a single solid-state spin from a spin bath | Science | 330, 60 | nv | V
bargill2013 | Bar-Gill, N.; Pham, L. M.; Jarmola, A.; Budker, D.; Walsworth, R. L. | 2013 | Solid-state electronic spin coherence time approaching one second | Nature Communications | 4, 1743 | nv | V
abobeih2018 | Abobeih, M. H.; Cramer, J.; Bakker, M. A.; et al. | 2018 | One-second coherence for a single electron spin coupled to a multi-qubit nuclear-spin environment | Nature Communications | 9, 2552 | nv,qc | V
bauch2018 | Bauch, E.; Hart, C. A.; Schloss, J. M.; et al. | 2018 | Ultralong dephasing times in solid-state spin ensembles via quantum control | Physical Review X | 8, 031025 | nv | V
bauch2020 | Bauch, E.; Singh, S.; Lee, J.; et al. | 2020 | Decoherence of ensembles of nitrogen-vacancy centers in diamond | Physical Review B | 102, 134210 | nv | V
