# ADAMAS reference database (part E, v0.5.0): power-electronics applications, silicon versus diamond in depth,
# thermal management and packaging, harsh environments, and large-scale quantum computer sizing.
# tags: pwr (power electronics and applications), si (silicon baseline), thm (thermal), app (applications), qc (quantum computing)
#
# ---- Power electronics: textbooks and reviews ----
baliga2019 | Baliga, B. J. | 2019 | Fundamentals of Power Semiconductor Devices (2nd ed.) | Springer | book | pwr | K
lutz2018 | Lutz, J.; Schlangenotto, H.; Scheuermann, U.; De Doncker, R. | 2018 | Semiconductor Power Devices: Physics, Characteristics, Reliability (2nd ed.) | Springer | book | pwr | K
erickson2020 | Erickson, R. W.; Maksimovic, D. | 2020 | Fundamentals of Power Electronics (3rd ed.) | Springer | book | pwr | K
kassakian2023 | Kassakian, J. G.; Perreault, D. J.; Verghese, G. C.; Schlecht, M. F. | 2023 | Principles of Power Electronics (2nd ed.) | Cambridge University Press | book | pwr | K
huang2017 | Huang, A. Q. | 2017 | Power semiconductor devices for smart grid and renewable energy systems | Proceedings of the IEEE | 105, 2019 | pwr,app | V
shenai2018 | Shenai, K. | 2018 | The figure of merit of a semiconductor power electronics switch | IEEE Transactions on Electron Devices | 65, 4216 | pwr | V
roccaforte2018 | Roccaforte, F.; Fiorenza, P.; Greco, G.; et al. | 2018 | Emerging trends in wide band gap semiconductors (SiC and GaN) technology for power devices | Microelectronic Engineering | 187, 66 | pwr | V
#
# ---- Silicon carbide and gallium nitride: the incumbents diamond must displace ----
she2017 | She, X.; Huang, A. Q.; Lucia, O.; Ozpineci, B. | 2017 | Review of silicon carbide power devices and their applications | IEEE Transactions on Industrial Electronics | 64, 8193 | pwr | V
kimoto2015 | Kimoto, T. | 2015 | Material science and device physics in SiC technology for high-voltage power devices | Japanese Journal of Applied Physics | 54, 040103 | pwr,mat | V
palmour2014 | Palmour, J. W. | 2014 | Silicon carbide power device development for industrial markets | IEEE International Electron Devices Meeting (IEDM) Technical Digest | 1.1.1 | pwr,ind | K
jones2016 | Jones, E. A.; Wang, F. F.; Costinett, D. | 2016 | Review of commercial GaN power devices and GaN-based converter design challenges | IEEE Journal of Emerging and Selected Topics in Power Electronics | 4, 707 | pwr | V
chen2017gan | Chen, K. J.; Haeberlen, O.; Lidow, A.; et al. | 2017 | GaN-on-Si power technology: devices and applications | IEEE Transactions on Electron Devices | 64, 779 | pwr | V
amano2018 | Amano, H.; Baines, Y.; Beam, E.; et al. | 2018 | The 2018 GaN power electronics roadmap | Journal of Physics D: Applied Physics | 51, 163001 | pwr | V
lidow2019 | Lidow, A.; de Rooij, M.; Strydom, J.; Reusch, D.; Glaser, J. | 2019 | GaN Transistors for Efficient Power Conversion (3rd ed.) | Wiley | book | pwr | K
meneghini2021 | Meneghini, M.; De Santi, C.; Abid, I.; et al. | 2021 | GaN-based power devices: physics, reliability, and perspectives | Journal of Applied Physics | 130, 181101 | pwr | V
meneghesso2008 | Meneghesso, G.; Verzellesi, G.; Danesin, F.; et al. | 2008 | Reliability of GaN high-electron-mobility transistors: state of the art and perspectives | IEEE Transactions on Device and Materials Reliability | 8, 332 | pwr | V
flack2016 | Flack, T. J.; Pushpakaran, B. N.; Bayne, S. B. | 2016 | GaN technology for power electronic applications: a review | Journal of Electronic Materials | 45, 2673 | pwr | V
uren2017 | Uren, M. J.; Karboyan, S.; Chatterjee, I.; et al. | 2017 | "Leaky dielectric" model for the suppression of dynamic RON in carbon-doped AlGaN/GaN HEMTs | IEEE Transactions on Electron Devices | 64, 2826 | pwr | V
#
# ---- Applications that set the requirements ----
reimers2019 | Reimers, J.; Dorn-Gomba, L.; Mak, C.; Emadi, A. | 2019 | Automotive traction inverters: current status and future trends | IEEE Transactions on Vehicular Technology | 68, 3337 | app,pwr | V
jung2017 | Jung, C. | 2017 | Power up with 800-V systems: the benefits of upgrading voltage power for battery-electric passenger vehicles | IEEE Electrification Magazine | 5(1), 53 | app,pwr | V
masanet2020 | Masanet, E.; Shehabi, A.; Lei, N.; Smith, S.; Koomey, J. | 2020 | Recalibrating global data center energy-use estimates | Science | 367, 984 | app | V
johnson2004 | Johnson, R. W.; Evans, J. L.; Jacobsen, P.; Thompson, J. R.; Christopher, M. | 2004 | The changing automotive environment: high-temperature electronics | IEEE Transactions on Electronics Packaging Manufacturing | 27, 164 | app | V
watson2015 | Watson, J.; Castro, G. | 2015 | A review of high-temperature electronics technology and applications | Journal of Materials Science: Materials in Electronics | 26, 9226 | app | V
tapper2000 | Tapper, R. J. | 2000 | Diamond detectors in particle physics | Reports on Progress in Physics | 63, 1273 | app,dev | V
webb2019 | Webb, J. L.; Clement, J. D.; Troise, L.; et al. | 2019 | Nanotesla sensitivity magnetic field sensing using a compact diamond nitrogen-vacancy magnetometer | Applied Physics Letters | 114, 231103 | app,sens | V
tao2014 | Tao, Y.; Boss, J. M.; Moores, B. A.; Degen, C. L. | 2014 | Single-crystal diamond nanomechanical resonators with quality factors exceeding one million | Nature Communications | 5, 3638 | app,bey | V
umezawa2012 | Umezawa, H.; Nagase, M.; Kato, Y.; Shikata, S. | 2012 | High temperature application of diamond power device | Diamond and Related Materials | 24, 201 | pwr,dev | V
ikeda2009 | Ikeda, K.; Umezawa, H.; Ramanujam, K.; Shikata, S. | 2009 | Thermally stable Schottky barrier diode by Ru/diamond | Applied Physics Express | 2, 011202 | pwr,dev | V
#
# ---- Thermal management and packaging ----
moore2014 | Moore, A. L.; Shi, L. | 2014 | Emerging challenges and materials for thermal management of electronics | Materials Today | 17, 163 | thm | V
barcohen2016 | Bar-Cohen, A.; Maurer, J. J.; Sivananthan, A. | 2016 | Near-junction microfluidic cooling for wide bandgap devices | MRS Advances | 1, 181 | thm | V
